,Kelurahan,Kecamatan,Nama SMA,Alamat
221,Bukit Duri,TEBET,SMA ISLAM AS SYAFI'IAH,"Alamat: Jl. Bukit Duri Selatan No.12, RT.8/RW.3, Bukit Duri, Kec. Tebet, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12840 "
222,Manggarai Sel.,TEBET,SMP SMA Kemala Bhayangkari 1Kubu Raya,"Alamat: Jl. Keselamatan No.12, RW.1, Manggarai Sel., Kec. Tebet, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12860 "
223,Manggarai,TEBET,Sekolah Menengah Atas Yayasan Memajukan Ilmu Dan Kebudayaan 1,"Alamat: Jl. Manggarai Utara VII No.145, RT.15/RW.4, Manggarai, Kec. Tebet, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12850 "
224,Manggarai,TEBET,Sekolah Menengah Atas Yayasan Memajukan Ilmu Dan Kebudayaan 2,"Alamat: 15, Jl. Manggarai Utara VII No.43, RT.8/RW.4, Manggarai, Kec. Tebet, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12850 "
225,Manggarai,TEBET,SMK YPK KESATUAN JAKARTA,"Alamat: Jl. Manggarai Utara VII, Manggarai, Kec. Tebet, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12850 "
226,Karet Semanggi,SETIA BUDI,SMK NEGERI 1 TELAWANG,"Alamat: Jl. Jend. Sudirman No.Km 89, RW.4, Karet Semanggi, Kecamatan Setiabudi, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12930 "
227,Karet Kuningan,SETIA BUDI,SMK Muhammadiyah 15,"Alamat: No. 4, Jl. Karet Belakang Barat No.10, RW.2, Kuningan, Karet Kuningan, Kecamatan Setiabudi, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12940 "
228,Karet Kuningan,SETIA BUDI,Sekolah Tinggi Teologi Indonesia Jakarta,"Alamat: Ebenezer Building, Jl. Setiabudi Selatan Raya No.1, Kuningan, Karet Kuningan, Kecamatan Setiabudi, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12940 "
229,Menteng Atas,SETIA BUDI,SMA NEGERI 79 Jakarta Selatan,"Alamat: QRHQ+37F, Jl. Menteng Pulo Ujung, RT.17/RW.1, Menteng Atas, Kecamatan Setiabudi, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12960 "
230,Menteng Atas,SETIA BUDI,SMA NEGERI 43 Jakarta Selatan,"Alamat: Jl. Minangkabau Dalam No.15, RT.15/RW.6, Menteng Atas, Kecamatan Setiabudi, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12960 "
231,Menteng Atas,SETIA BUDI,SDN Menteng Atas 21,"Alamat: Jl. Menteng Pulo Ujung No.21, RT.17/RW.1, Menteng Atas, Kecamatan Setiabudi, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12960 "
232,Menteng Atas,SETIA BUDI,SDN Menteng Atas 11,"Alamat: No.Dalam, Jl. Minangkabau Barat, RT.12/RW.6, Menteng Atas, Kecamatan Setiabudi, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12960 "
233,Ps. Manggis,SETIA BUDI,Sekolah Menengah Kejuruan Yaspen (SMP-SMK YASPEN),"Alamat: Jl. Mentang Wadas Tengah No.30, RT.8/RW.6, Ps. Manggis, Kecamatan Setiabudi, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12970 "
234,Ps. Manggis,SETIA BUDI,Sekolah Menengah Atas Trisula Pewari 1,"Alamat: Jl. Pariaman No.17, RT.12/RW.10, Ps. Manggis, Kecamatan Setiabudi, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12970 "
235,Ps. Manggis,SETIA BUDI,Hhk,"Alamat: Jl. Minangkabau Barat No.28b, RW.8, Ps. Manggis, Kecamatan Setiabudi, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12970 "
236,Kuningan Tim.,SETIA BUDI,Madrasah Aliyah Rumah pendidikan islam,"Alamat: Jl. HR Rasuna Said Kav 2-2 Gg RPI 1 Kuningan Timur Setiabudi Jakarta Selatan DKI Jakarta, RT.6/RW.4, Kuningan Tim., Kecamatan Setiabudi, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12950 "
237,Mampang Prpt.,MAMPANG PRAPATAN,Sekolah Menengah Kejuruan Budisatria,"Alamat: Jl. Mampang Prapatan I No.3, RT.8/RW.6, Mampang Prpt., Kec. Mampang Prpt., Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12790 "
238,Bangka,MAMPANG PRAPATAN,SMA NEGERI 60 Jakarta Selatan,"Alamat: Jl. Kemang Tim. I No.6, RW.4, Bangka, Kec. Mampang Prpt., Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12730 "
239,Bangka,MAMPANG PRAPATAN,Sekolah Menengah Kejuruan (SMK) Bina Putra,"Alamat: Jl. Kemang Timur No.50, RW.3, Bangka, Kec. Mampang Prpt., Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12730 "
240,Pela Mampang,MAMPANG PRAPATAN,SMP Palapa,"Alamat: Jl. Bangka III No.3, RT.1/RW.2, Pela Mampang, Kec. Mampang Prpt., Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12720 "
241,Pela Mampang,MAMPANG PRAPATAN,Sekolah Menengah Pertama Islam Terpadu Al-Hikmah,"Alamat: Jl. Bangka II No.24, RT.8/RW.3, Pela Mampang, Kec. Mampang Prpt., Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12720 "
242,Tegal Parang,MAMPANG PRAPATAN,SMAS 28 OKTOBER 1928,"Alamat: QR2P+226, Jl. Mampang Prapatan XI, RT.1/RW.4, Tegal Parang, Kec. Mampang Prpt., Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12790 "
243,Tegal Parang,MAMPANG PRAPATAN,Madrasah Aliyah Saadatuddarain,"Alamat: Jl. Mampang Prpt. Raya No.103, RT.13/RW.1, Tegal Parang, Kec. Mampang Prpt., Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12790 "
244,Kuningan Bar.,MAMPANG PRAPATAN,Seksi Hak Atas Tanah,"Alamat: Jl. Kuningan Barat Raya No.2, RT.6/RW.3, Kuningan Bar., Kec. Mampang Prpt., Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12710 "
245,Kuningan Bar.,MAMPANG PRAPATAN,Ihbs,"Alamat: QR7C+MCF, Jl. Kuningan Barat Raya, RT.6/RW.3, Kuningan Bar., Kec. Mampang Prpt., Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12710 "
246,Jati Padang,PASAR MINGGU,SMA NEGERI 28 Jakarta,"Alamat: Jl. Raya Ragunan No.33, RW.7, Jati Padang, Ps. Minggu, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12540 "
247,Jati Padang,PASAR MINGGU,AL-MUHAJIRIN,"Alamat: Saruji, Jl. H.A Wahid, Jati Padang, Ps. Minggu, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12540 "
248,CILANDAK TIMUR,PASAR MINGGU,Sekolah Menengah Atas Sumbangsih,"Alamat: Jalan Ampera Raya No. 3-4, Cilandak Timur, RT.2/RW.2, Cilandak Tim., Ps. Minggu, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12560 "
249,Ragunan,PASAR MINGGU,SMA KOLESE GONZAGA,"Alamat: Jl. Pejaten Barat 10A RT.02/10, RT.2/RW.10, Ragunan, Ps. Minggu, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12550 "
250,Ragunan,PASAR MINGGU,SMK KEMALA BHAYANGKARI DELOG,"Alamat: Jl. C No.1, RW.6, Ragunan, Ps. Minggu, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12550 "
251,Ragunan,PASAR MINGGU,Sma Kemala Bhayangkari 1,"Alamat: Jl. C No.1, RT.1/RW.6, Ragunan, Ps. Minggu, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12540 "
252,Pejaten Timur,PASAR MINGGU,SMA Bunda Kandung,"Alamat: Jl. Poltangan Raya No.41, RT.2/RW.10, Pejaten Timur, Ps. Minggu, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12510 "
253,Pejaten Timur,PASAR MINGGU,SMK Yapimda,"Alamat: Jl. Poltangan III No.97, RT.6/RW.10, Pejaten Timur, Ps. Minggu, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12510 "
254,Pejaten Bar.,PASAR MINGGU,SMA Islam Al Azhar 2 Pejaten,"Alamat: Jl. Siaga Raya, Pejaten Bar., Ps. Minggu, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12510 "
255,Pejaten Bar.,PASAR MINGGU,SMK Negeri 8 Jakarta,"Alamat: Jl. Pejaten Raya, RT.6/RW.6, Pejaten Bar., Ps. Minggu, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12510 "
256,Kebagusan,PASAR MINGGU,SMA QURAN AL IHSAN,"Alamat: Jl. Baung IV No.43, RT.3/RW.6, Kebagusan, Ps. Minggu, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12520 "
257,Kebagusan,PASAR MINGGU,Khajrana,"Alamat: colony, Gg. Jakaria No.44, RT.2/RW.7, Kebagusan, Pasar Minggu, South Jakarta City, Jakarta 12520 "
258,Kebagusan,PASAR MINGGU,SMK WISATA INDONESIA {Sekolah Menengah Kejuruan},"Alamat: JL. Raya Lenteng Agung / Jl. Langgar Rt. 009/003 No. 1, Kebagusan, Ps. Minggu, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12520 "
259,Kby. Lama Utara,KEBAYORAN LAMA,SMA NEGERI 47 Jakarta,"Alamat: Jl. Delman Utama I No.1, RT.1/RW.11, Kby. Lama Utara, Kec. Kby. Lama, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12240 "
260,Kby. Lama Utara,KEBAYORAN LAMA,SMA NEGERI 29 Jakarta Selatan,"Alamat: Jl. Kramat No.6, RW.1, Kby. Lama Utara, Kec. Kby. Lama, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12240 "
261,Kby. Lama Utara,KEBAYORAN LAMA,Sma Don Bosco Pondok Indah,"Alamat: Jl. Ciputat Raya No.3c, RT.11/RW.1, Kby. Lama Utara, Kec. Kby. Lama, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12240 "
262,Pd. Pinang,KEBAYORAN LAMA,SMA Bakti Mulya 400,"Alamat: Jl. Lingkar Selatan, Pondok Pinang Barat, RT.4/RW.7, Pondok Pinang, Kebayoran Lama, Jl. R.A.Kartini No.3, RT.4/RW.7, Pd. Pinang, Kec. Kby. Lama, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12310 "
263,Pd. Pinang,KEBAYORAN LAMA,SMK Pondok Indah,"Alamat: Jl. Pupan No.29, RT.6/RW.8, Pd. Pinang, Kec. Kby. Lama, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12310 "
264,Cipulir,KEBAYORAN LAMA,SMK Muhammadiyah 9 Jakarta,"Alamat: Jl. Panjang No.30C, RT.2/RW.8, Cipulir, Kec. Kby. Lama, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12230 "
265,Cipulir,KEBAYORAN LAMA,SMA Hang Tuah 1,"Alamat: Jl. Samudra No.1, RW.6, Cipulir, Kec. Kby. Lama, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12230 "
266,Cipulir,KEBAYORAN LAMA,SMK Negeri 43 Jakarta,"Alamat: 4, Jl. Cipulir 1 No.1 1 4, RT.1/RW.4, Cipulir, Kec. Kby. Lama, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12230 "
267,Cipulir,KEBAYORAN LAMA,SMA Muhammadiyah 18,"Alamat: Jl. Panjang No.19, RT.8/RW.9, Cipulir, Kec. Kby. Lama, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12230 "
268,Grogol Utara,KEBAYORAN LAMA,SMAN 3 CIKAMPEK,"Alamat: QQMJ+W59, Jl. Biduri, RW.1, Grogol Utara, Kec. Kby. Lama, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12210 "
269,Grogol Sel.,KEBAYORAN LAMA,SMA Negeri 32 Jakarta,"Alamat: Jl. Panjang Cidodol, RT.1/RW.6, Grogol Sel., Kec. Kby. Lama, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12220 "
270,Kby. Lama Sel.,KEBAYORAN LAMA,SMA Negeri 74 Jakarta Selatan,"Alamat: Jl. Darma Putra XI No.10, RT.10/RW.7, Kby. Lama Sel., Kec. Kby. Lama, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12240 "
271,Cilandak Bar.,CILANDAK,SMK Bakti Idhata,"Alamat: Jl. Melati No.25, RT.13/RW.10, Cilandak Bar., Kec. Cilandak, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12430 "
272,Lb. Bulus,CILANDAK,SMA CHARITAS JAKARTA,"Alamat: Jl. Mawar Indah No.75, RW.8, Lb. Bulus, Kec. Cilandak, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12440 "
273,Lb. Bulus,CILANDAK,Sekolah Menengah Atas Keluarga Widuri,"Alamat: Jl. Gunung Balong I No.6, RT.9/RW.4, Lb. Bulus, Kec. Cilandak, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12440 "
274,Lb. Bulus,CILANDAK,SMK Lebak Bulus Jakarta,"Alamat: Jl. Batan No.69, RT.3/RW.2, Lb. Bulus, Kec. Cilandak, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12440 "
275,Lb. Bulus,CILANDAK,SMK AL HIDAYAH LESTARI,"Alamat: JL. KANA LESTARI BLOK K/I, RT.11/RW.7, Lb. Bulus, Kec. Cilandak, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12440 "
276,Pd. Labu,CILANDAK,SMA Negeri 66 Jakarta,"Alamat: Jl. Bango III No.7, RW.3, Pd. Labu, Kec. Cilandak, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12450 "
277,Pd. Labu,CILANDAK,SMA NEGERI 34 Jakarta,"Alamat: Jl. Margasatwa No.1, RT.15/RW.1, Pd. Labu, Kec. Cilandak, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12450 "
278,Pd. Labu,CILANDAK,SMA Islam Al-Izhar Pondok Labu,"Alamat: Jl. RS. Fatmawati Raya No.49, RT.13/RW.1, Pd. Labu, Kec. Cilandak, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12430 "
279,Pd. Labu,CILANDAK,SMK Selagan Jaya,"Alamat: 10, Jl. Margasatwa No.105, RT.10/RW.2, Pd. Labu, Kec. Cilandak, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12450 "
280,Pd. Labu,CILANDAK,SMA PGRI 3 JAKARTA,"Alamat: 10, Jl. Margasatwa No.105, RT.10/RW.2, Pd. Labu, Kec. Cilandak, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12450 "
281,Pd. Labu,CILANDAK,Sekolah Menengah Kejuruan LP3 Istana,"Alamat: Jl. Margasatwa No.99B, RT.4/RW.1, Pd. Labu, Kec. Cilandak, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12450 "
282,Gandaria Sel.,CILANDAK,SMA Cenderawasih 1 Jakarta,"Alamat: PQJW+9QR Komplek Deplu, Jl. RS. Fatmawati Raya, RT.2/RW.3, Gandaria Sel., Kec. Cilandak, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12420 "
283,Cipete Sel.,CILANDAK,SMA Darul Ma'arif,"Alamat: Jl. RS. Fatmawati Raya No.45, RT.2/RW.5, Cipete Sel., Kec. Cilandak, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12410 "
284,Melawai,KEBAYORAN BARU,SMA Purnama,"Alamat: Jl. Tirtayasa V, RT.9/RW.4, Melawai, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12160 "
285,Melawai,KEBAYORAN BARU,SMA 4 PSKD,"Alamat: Jl. Panglima Polim II No.51A, RT.1/RW.3, Melawai, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12160 "
286,Melawai,KEBAYORAN BARU,SMA Islam Al-Kholidin Jakarta,"Alamat: Jl. Panglima Polim II No.51A, RT.1/RW.3, Melawai, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12160 "
287,Melawai,KEBAYORAN BARU,SMA Tarakanita 1,"Alamat: Jl. Panglima Polim II No.51A, RT.1/RW.3, Melawai, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12160 "
288,Kramat Pela,KEBAYORAN BARU,SMA NEGERI 6 Jakarta Selatan,"Alamat: Jl. Mahakam No.2, RT.11/RW.7, Kramat Pela, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12130 "
289,Kramat Pela,KEBAYORAN BARU,SMA Labschool Kebayoran,"Alamat: 2, Jl. KH. Ahmad Dahlan No.14, RW.1, Kramat Pela, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12130 "
290,Kramat Pela,KEBAYORAN BARU,SMA Negeri 70 Jakarta,"Alamat: Jl. Bulungan Blok C No.1, RT.11/RW.7, Kramat Pela, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12130 "
291,Kramat Pela,KEBAYORAN BARU,Sma Muhammadiyah 3 Jakarta,"Alamat: Jl. Limau II BLOK No.3, RT.3/RW.3, Kramat Pela, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12130 "
292,Selong,KEBAYORAN BARU,SMAN 82 JAKARTA,"Alamat: Jl. Daha 2 No.15A, RT.1/RW.1, Selong, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12110 "
293,Pulo,KEBAYORAN BARU,SMA Katolik Pangudi Luhur,"Alamat: PRW4+9GX, Jl. Brawijaya IV, RT.5/RW.3, Pulo, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12160 "
294,Petogogan,KEBAYORAN BARU,SMA Tarakanita 1,"Alamat: 13, Jl. Puloraya IV No.17, RT.6/RW.1, Petogogan, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12170 "
295,Petogogan,KEBAYORAN BARU,SMK Tarakanita,"Alamat: Jl. Wolter Monginsidi No.118, RW.2, Petogogan, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12170 "
296,Gandaria Utara,KEBAYORAN BARU,SMAN 46 Jakarta,"Alamat: Jalan Masjid Darrusalam Blok A No. 23-25, RT.1/RW.6, Gandaria Utara, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12140 "
297,Gandaria Utara,KEBAYORAN BARU,SMU Bps & K Pembangunan,"Alamat: Jl. Binakarya No.52, RT.2/RW.7, Gandaria Utara, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12140 "
298,Gandaria Utara,KEBAYORAN BARU,SMA Gita Kirtti 3,"Alamat: Jl. Bri Radio Dalam No.3, RT.5/RW.14, Gandaria Utara, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12140 "
299,Cipete Utara,KEBAYORAN BARU,SMA negeri,"Alamat: PRQ6+C69, Cipete Utara, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta "
300,Cipete Utara,KEBAYORAN BARU,SMK Tunas Pembangunan,"Alamat: Jl. KH. Moh. Naim I No.68, RT.5/RW.11, Cipete Utara, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12150 "
301,Pancoran,PANCORAN,Madrasah Aliyah Al -Islamiyah,"Alamat: Jl. Pancoran Barat XI A No.10, RT.4/RW.3, Pancoran, Kec. Pancoran, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12780 "
302,Pancoran,PANCORAN,SMK Walisongo Jakarta,"Alamat: Jl. Pancoran Barat XI A No.10, RT.4/RW.3, Pancoran, Kec. Pancoran, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12780 "
303,KALIBATA,PANCORAN,Sekolah Menengah Atas Fatahillah,"Alamat: Jl. Amil Buncit Raya No.67, RT.12/RW.5, Kalibata, Kec. Pancoran, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12740 "
304,KALIBATA,PANCORAN,SMK Walisongo Jakarta,"Alamat: Jl. Kalibata Timur No.30, RT.9/RW.8, Kalibata, Kec. Pancoran, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12740 "
305,KALIBATA,PANCORAN,Madrasah Aliyah Sultan Hasanuddin,"Alamat: Jalan Buncit Raya Pulo No.1, Kalibata, Pancoran, RT.4/RW.5, Kalibata, Jakarta Selatan, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12740 "
306,KALIBATA,PANCORAN,Yayasan Santo Alexander,"Alamat: Jl. Kalibata Tmr IV Bl F%2F5 Kalibata Pancoran Jakarta Selatan DKI Jakarta, RT.14, Kalibata, Kec. Pancoran, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12740 "
307,Duren Tiga,PANCORAN,SMA Negeri 55 Jakarta Selatan,"Alamat: Jl. Potlot II No.2, RW.3, Duren Tiga, Kec. Pancoran, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12760 "
308,Duren Tiga,PANCORAN,SMA Perguruan Cikini,"Alamat: Jl. Duren Tiga Raya No.1, RT.9/RW.1, Duren Tiga, Kec. Pancoran, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12760 "
309,Duren Tiga,PANCORAN,SMK Musik Perguruan Cikini,"Alamat: Jl. Duren Tiga Raya No.01, RT.4/RW.5, Duren Tiga, Kec. Pancoran, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12760 "
310,Duren Tiga,PANCORAN,SMP Bait Al Rahman,"Alamat: Jl. Duren Tiga Raya No.01, RT.4/RW.5, Duren Tiga, Kec. Pancoran, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12760 "
311,Pengadegan,PANCORAN,Sekolah Menengah Atas Yasporbi I,"Alamat: 46, Jl. Pengadegan Barat Raya No.13, RT.7/RW.4, Pengadegan, Kec. Pancoran, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12770 "
312,Kec. Jagakarsa,JAGAKARSA,Sekolah Menengah Atas Negeri 109 Jakarta,"Alamat: Jl. Gardu No.31, RT.10/RW.2, Srengseng Sawah, Kec. Jagakarsa, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12630 "
313,Kec. Jagakarsa,JAGAKARSA,SMA Negeri 49 Jakarta,"Alamat: Jl. Pepaya Raya No.9, RT.2/RW.5, Jagakarsa, Kec. Jagakarsa, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12620 "
314,Kec. Jagakarsa,JAGAKARSA,SMAN 97 JAKARTA,"Alamat: Jl. Brigif II No.2, RT.9/RW.6, Ciganjur, Kec. Jagakarsa, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12630 "
315,Kec. Jagakarsa,JAGAKARSA,SMA Pattimura,"Alamat: Jl. Raya Jagakarsa No.88, RT.2/RW.5, Jagakarsa, Kec. Jagakarsa, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12620 "
316,Kec. Jagakarsa,JAGAKARSA,SMA JAGAKARSA JAKARTA,"Alamat: Jl. Kramat, RT.8/RW.7, Jagakarsa, Kec. Jagakarsa, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12620 "
317,Kec. Jagakarsa,JAGAKARSA,SMA Citra Alam Lahan Bawah,"Alamat: Jl. Damai 2 No.22, RT.4/RW.2, Ciganjur, Kec. Jagakarsa, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12630 "
318,Kec. Jagakarsa,JAGAKARSA,SMA NEGERI 38 Jakarta,"Alamat: Jl. Raya Lenteng Agung No.38, RT.1/RW.8, Lenteng Agung, Kec. Jagakarsa, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12610 "
319,Srengseng Sawah,JAGAKARSA,"SMA 2 PERGURUAN ""CIKINI""","Alamat: Jl. Srengseng Sawah No.79 B, RT.13/RW.9, Srengseng Sawah, Kec. Jagakarsa, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12640 "
320,Srengseng Sawah,JAGAKARSA,Sekolah Menengah Atas Negeri 109 Jakarta,"Alamat: Jl. Gardu No.31, RT.10/RW.2, Srengseng Sawah, Kec. Jagakarsa, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12630 "
321,Srengseng Sawah,JAGAKARSA,SMA KARTIKA VIII-1,"Alamat: 7, Jl. Seroja No.13, RT.7/RW.13, Srengseng Sawah, Kec. Jagakarsa, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12640 "
322,Srengseng Sawah,JAGAKARSA,SMA PERGURUAN RAKYAT 1,"Alamat: Jl. Yon Zikon 14 No.4, RW.6, Srengseng Sawah, Kec. Jagakarsa, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12640 "
323,Srengseng Sawah,JAGAKARSA,SMA Citra Alam Lahan Bawah,"Alamat: Jl. Yon Zikon 14 No.4, RW.6, Srengseng Sawah, Kec. Jagakarsa, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12640 "
324,Lenteng Agung,JAGAKARSA,SMA NEGERI 38 Jakarta,"Alamat: Jl. Raya Lenteng Agung No.38, RT.1/RW.8, Lenteng Agung, Kec. Jagakarsa, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12610 "
325,Lenteng Agung,JAGAKARSA,Sma Kartika Sari,"Alamat: Jl. Raya Lenteng Agung No.50, RT.2/RW.1, Lenteng Agung, Kec. Jagakarsa, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12530 "
326,Tj. Bar.,JAGAKARSA,Sekolah Menengah Kejuruan Kahuripan 1,"Alamat: Jl. Nangka Raya No.17, RT.7/RW.5, Tj. Bar., Kec. Jagakarsa, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12530 "
327,Tj. Bar.,JAGAKARSA,SMK Tanjung Barat,"Alamat: Jl. Melati No.100, RT.5/RW.4, Tj. Bar., Kec. Jagakarsa, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12530 "
328,Tj. Bar.,JAGAKARSA,Tpq Muara Hati,"Alamat: Jl. H. Harun No.91, RT.7/RW.3, Tj. Bar., Kec. Jagakarsa, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12530 "
329,Tj. Bar.,JAGAKARSA,Teh Javva,"Alamat: seberang SMA Bunda Kandung, Jl. Poltangan Raya, Tj. Bar., Kec. Jagakarsa, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12510 "
330,Cipedak,JAGAKARSA,Sekolah Menengah Kejuruan Islam An Nuriyah,"Alamat: Jl. Timbul No.60, RT.2/RW.3, Cipedak, Kec. Jagakarsa, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12630 "
